x,y,z,gene
926,1191,156,bc2
927,1212,156,bc2
929,1198,156,bc2
937,1227,156,bc2
948,1278,156,bc2
952,1267,156,bc2
951,1293,156,bc2
964,1208,156,bc2
964,1224,156,bc2
967,1217,156,bc2
969,1253,156,bc2
968,1259,156,bc2
970,1210,156,bc2
970,1258,156,bc2
974,1269,156,bc2
975,1247,156,bc2
975,1257,156,bc2
977,1252,156,bc2
929,1217,157,bc2
934,1211,158,bc2
945,1293,158,bc2
945,1196,157,bc2
947,1285,157,bc2
952,1209,157,bc2
955,1278,157,bc2
958,1269,157,bc2
961,1217,157,bc2
964,1257,157,bc2
966,1251,157,bc2
968,1234,157,bc2
969,1247,157,bc2
974,1251,157,bc2
895,1231,158,bc2
905,1267,158,bc2
910,1271,158,bc2
912,1213,158,bc2
911,1247,158,bc2
912,1252,158,bc2
913,1277,158,bc2
915,1202,158,bc2
919,1217,158,bc2
919,1277,158,bc2
927,1285,158,bc2
932,1208,158,bc2
932,1270,158,bc2
932,1279,158,bc2
937,1271,158,bc2
939,1210,158,bc2
940,1203,158,bc2
941,1275,158,bc2
942,1242,158,bc2
944,1210,158,bc2
946,1212,158,bc2
948,1203,158,bc2
962,1280,158,bc2
964,1268,158,bc2
964,1284,158,bc2
965,1223,158,bc2
966,1247,158,bc2
968,1230,159,bc2
969,1277,158,bc2
975,1241,158,bc2
976,1262,158,bc2
895,1276,159,bc2
895,1268,159,bc2
899,1288,159,bc2
904,1223,159,bc2
905,1245,159,bc2
910,1291,159,bc2
913,1206,159,bc2
917,1222,159,bc2
919,1264,159,bc2
921,1210,159,bc2
925,1268,159,bc2
928,1212,159,bc2
930,1217,159,bc2
939,1212,159,bc2
939,1220,160,bc2
941,1293,159,bc2
942,1268,159,bc2
950,1206,160,bc2
951,1285,159,bc2
954,1203,159,bc2
954,1266,159,bc2
954,1278,159,bc2
957,1263,159,bc2
958,1211,159,bc2
967,1221,159,bc2
967,1235,159,bc2
968,1279,159,bc2
970,1259,159,bc2
971,1246,159,bc2
890,1265,160,bc2
894,1229,160,bc2
900,1273,160,bc2
901,1233,160,bc2
903,1265,160,bc2
905,1214,160,bc2
908,1225,160,bc2
908,1281,160,bc2
909,1239,160,bc2
910,1211,160,bc2
910,1256,160,bc2
912,1216,160,bc2
912,1251,160,bc2
